기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2024/04/14,99.52,94.96,86.66,86.65,86.68,100.28,99.37,94.77,95.19,98.75,97.48,97.23,94.12,94.57,95.51,118.2,118.2,118.2,119,141.75,139.71,119.84,119.08,98.5,141.75,86.65,106.62
2024/04/13,100.36,92.86,86.9,86.9,86.9,100.94,101.13,92.86,96.25,98.07,98.09,97.68,96.23,95.49,95.65,96.38,97.68,97.82,98.06,98.32,98.83,99.09,99.6,111.31,111.31,86.9,96.92
2024/04/12,101.85,99.08,87.57,87.34,87.57,95.88,102.01,101.85,137.41,148.26,142.3,142.3,119.09,119.09,119.09,119.09,116.23,97.41,98.42,99.08,99.18,99.44,99.29,99.98,148.26,87.34,109.42
2024/04/11,102.01,96.31,86.93,85.92,86.93,96.31,102.32,113.53,158.09,164.2,137.28,141.68,117.79,144.41,117.79,143.55,117.79,128.39,141.14,142.3,141.05,114.74,141.61,116.33,164.2,85.92,123.75
2024/04/10,117.35,102.4,95.98,95.95,99.16,149.78,149.95,149.88,110.38,137.44,150.28,116.18,116.18,143.15,115.93,137.44,109.98,110.69,147.73,147.74,147.75,147.74,147.77,142.26,150.28,95.95,129.34
2024/04/09,101.22,95.68,86.84,86.84,87.05,95.96,126.78,129.76,144.51,144.45,136.64,133.59,113.17,129.76,133.59,133.59,133.59,142.3,137.98,137.98,136.88,131.6,129.76,129.76,144.51,86.84,124.5
2024/04/08,99.08,99.08,96.22,86.38,86.38,99.08,113.07,129.76,162.45,151.46,137.43,136.47,135.8,135.82,136.52,136.13,137.13,162.45,137.16,137.16,141.61,132.51,129.76,129.76,162.45,86.38,128.6
2024/04/07,102.88,93.12,86.6,86.5,97.67,103.05,103.19,102.56,94.86,95.92,96.53,94.95,93.55,95.36,95.62,96.14,98.07,130.14,130.14,114.48,101.93,102.09,102.09,102.4,130.14,86.5,101.42
2024/04/06,117.76,103.22,96.62,96.08,96.28,103.54,103.54,103.54,96.77,102.75,96.9,96.88,96.62,96.44,96.42,96.27,97,114.7,101.64,130.71,130.71,130.71,130.71,130.71,130.71,96.08,107.75
2024/04/05,129.76,129.76,103.65,95.35,102.33,104.4,129.76,129.76,144.59,154.77,138.52,139.67,139.32,150.26,150.26,139.41,139.2,129.76,142.3,137.93,144.6,144.61,144.42,129.76,154.77,95.35,133.99
2024/04/04,129.76,129.76,106.84,103.82,111.32,129.76,129.76,146.37,148.26,162.45,150.27,150.27,145.28,150.24,150.26,162.45,141.62,145.33,145.37,162.45,145.24,143.27,143.28,143.21,162.45,103.82,141.69
2024/04/03,110.63,146.19,112.36,112.47,112.47,112.47,115.06,140.28,142.51,162.45,163.37,150.25,143.89,149.38,149.38,158.57,146.34,146.33,146.34,146.33,143.99,143.67,142.3,141.59,163.37,110.63,140.41
2024/04/02,115.99,111.98,105.97,102.71,105.65,111.98,142.02,156.19,149.36,156.47,137.05,114.55,112.27,114.46,130.61,140.62,141.61,144.54,147.63,147.14,147.18,145.8,145.89,141.96,156.47,102.71,133.07
2024/04/01,116.23,95.81,85.94,83.92,85.94,95.81,103.74,116.28,151.81,147.06,117.4,107.12,95.77,96.89,105.79,110.39,120.06,120.06,138.71,141.78,146.34,146.34,146.34,146.14,151.81,83.92,119.45
